bucket,n,n_neg,auroc,sd,own,own_sd,n_train_own,equal_n,equal_n_sd,folds,recall,precision,accuracy,rating
cook.attack,39513,39513,0.9458486808320098,0.002564547619684824,0.9462399168687896,0.001357230445708679,63220,,,5,0.8851517222180042,0.8548836527180289,0.8674486877736441,1657.53415331663
cook.attack.greater,30726,30726,0.9562906726234678,0.002424938477840688,0.965886394629692,0.0011773332800377942,49161,0.9356926347114465,0.008517092755368815,5,0.9104992514482848,0.8586336013749923,0.8802968170279243,1646.9038599231922
cook.attack.hanging,28194,28194,0.940479961005677,0.0028584484670425765,0.9450211904794176,0.002082730566564862,45110,0.9213263896269529,0.008553905065174072,5,0.8749379300560403,0.8499465940805568,0.860236220472441,1663.2126338937362
cook.escape,5990,5990,0.9680272987615055,0.0038199758389436886,0.9919733826457193,0.0008171174074727369,9584,,,5,0.9252086811352254,0.8746843434343434,0.8963272120200334,1465.9828046744574
cook.escape.greater,3604,3604,0.9962361852454296,0.000583011332136006,0.999819175478656,0.00012117563445767355,5766,0.9970619619513232,0.0008575058643419305,5,0.9930632630410655,0.915813715455476,0.9508879023307436,1221.7896781354052
cook.escape.hanging,2426,2426,0.9006725067575573,0.014617266398777988,0.9787783010196144,0.003635679429333805,3881,0.9575079179508981,0.006053108121361464,5,0.825638911788953,0.8096200485044462,0.8157460840890355,1837.4513602638087
