d,n,n_neg,auroc,sd,folds,recall,precision,accuracy,rating
0,15138,15138,0.9903008280934085,0.0012513396193157827,5,0.9608931166600607,0.939057456423499,0.9492667459373761,1530.8075703527547
1,8987,8987,0.9445600903080292,0.005727167770818364,5,0.8512295537999333,0.8864426419466975,0.8710915767219317,1666.7614331812617
2,1564,1564,0.8753495390215835,0.01640110145258067,5,0.6681585677749361,0.8586688578471652,0.7790920716112532,2022.3657289002558
3,137,137,0.8299280157274547,0.04394753896466245,5,0.5474452554744526,0.8241758241758241,0.7153284671532847,2339.5036496350367
