d,n,n_neg,auroc,sd,folds,recall,precision,accuracy,rating
0,15138,15138,0.873435221163934,0.0035543328195634535,5,0.7810807240058132,0.7918033884684926,0.7878517637732858,1530.8075703527547
1,8987,8987,0.797189346328196,0.00811836645261155,5,0.7000111271837098,0.7258566978193146,0.7178146211193946,1666.7614331812617
2,1564,1564,0.760073777479136,0.011039516754244062,5,0.6182864450127877,0.7058394160583942,0.680306905370844,2022.3657289002558
3,137,137,0.710118760907681,0.0799494820062605,5,0.5474452554744526,0.6756756756756757,0.6423357664233577,2339.5036496350367
