bucket,n,n_neg,auroc,sd,own,own_sd,n_train_own,equal_n,equal_n_sd,folds,recall,precision,accuracy,rating
cook.attack,39513,39513,0.8408753967553213,0.00288353707205298,0.841372905281208,0.0037505422231718243,63220,,,5,0.7851086984030572,0.7395170325871893,0.7542834003998684,1657.53415331663
cook.attack.greater,30726,30726,0.8502355661313974,0.00439196954278612,0.8680868904571528,0.001216920915647949,49161,0.7704159846955043,0.015832876923483254,5,0.8005597865000326,0.7440186322252805,0.7625626505239862,1646.9038599231922
cook.attack.hanging,28194,28194,0.8376053723055568,0.003861425549724954,0.8444716258236822,0.002717626216967065,45110,0.777723456265278,0.022780545384647244,5,0.7825778534439952,0.7369897788763444,0.7516492870823579,1663.2126338937362
cook.escape,5990,5990,0.8911193682423088,0.008963634731678667,0.9615047756277155,0.0010906984433981014,9584,,,5,0.8449081803005009,0.7601381796335236,0.7891485809682804,1465.9828046744574
cook.escape.greater,3604,3604,0.9659833973432331,0.005365177624657779,0.9933120575970986,0.000820388985313408,5766,0.9770466574556276,0.0021860637322565117,5,0.9597669256381798,0.797739852398524,0.8582130965593785,1221.7896781354052
cook.escape.hanging,2426,2426,0.7600261454705041,0.024745024595129478,0.8965345834570728,0.006156896740929884,3881,0.8368761823785735,0.0193214552542609,5,0.674361088211047,0.6902953586497891,0.6859027205276175,1837.4513602638087
