arm,n,accuracy,accuracy_sd,majority,macro_f1,pin_vs_neg_accuracy,pin_vs_neg_auroc,d0_vs_d1_auroc,true,pred_negative,pred_d0,pred_d1,recall,precision
max,48250,0.676415,0.006170,0.500000,0.623329,0.751813,0.836242,0.804055,negative,19254,2938,1933,0.798093,0.730480
max,48250,0.676415,0.006170,0.500000,0.623329,0.751813,0.836242,0.804055,d=0,3848,9658,1632,0.637997,0.661416
max,48250,0.676415,0.006170,0.500000,0.623329,0.751813,0.836242,0.804055,d=1,3256,2006,3725,0.414488,0.510974
uniform,26961,0.604614,0.006265,0.333333,0.604731,0.741627,0.796545,0.797886,negative,5524,1515,1948,0.614666,0.611942
uniform,26961,0.604614,0.006265,0.333333,0.604731,0.741627,0.796545,0.797886,d=0,1566,5496,1925,0.611550,0.625968
uniform,26961,0.604614,0.006265,0.333333,0.604731,0.741627,0.796545,0.797886,d=1,1937,1769,5281,0.587627,0.576906
