d,n,n_neg,auroc,sd,folds,recall,precision,accuracy,rating
0,15138,15138,0.8930924061699554,0.0034006014641836807,5,0.8182718985334919,0.7992128524420931,0.806348262650284,1530.8075703527547
1,8987,8987,0.8424180787803941,0.004860254062462238,5,0.7513074440859019,0.7606173256730877,0.7574273951262935,1666.7614331812617
2,1564,1564,0.804613406536766,0.007776129917342904,5,0.6726342710997443,0.7445152158527955,0.7209079283887468,2022.3657289002558
3,137,137,0.7499404542006225,0.05420831665522104,5,0.5766423357664233,0.7383177570093458,0.6861313868613139,2339.5036496350367
