arm,n,accuracy,accuracy_sd,majority,macro_f1,pin_vs_neg_accuracy,pin_vs_neg_auroc,d0_vs_d1_auroc,true,pred_negative,pred_d0,pred_d1,recall,precision
max,48250,0.708767,0.004430,0.500000,0.665159,0.777244,0.867753,0.848353,negative,19459,2744,1922,0.806591,0.761873
max,48250,0.708767,0.004430,0.500000,0.665159,0.777244,0.867753,0.848353,d=0,3297,10348,1493,0.683578,0.694357
max,48250,0.708767,0.004430,0.500000,0.665159,0.777244,0.867753,0.848353,d=1,2785,1811,4391,0.488595,0.562516
uniform,26961,0.645785,0.008924,0.333333,0.645869,0.768517,0.826990,0.837791,negative,5720,1491,1776,0.636475,0.657925
uniform,26961,0.645785,0.008924,0.333333,0.645869,0.768517,0.826990,0.837791,d=0,1387,5855,1745,0.651497,0.657127
uniform,26961,0.645785,0.008924,0.333333,0.645869,0.768517,0.826990,0.837791,d=1,1587,1564,5836,0.649382,0.623704
